data,valor
2012-07-01,0.0043
2012-08-01,0.0041
2012-09-01,0.0057
2012-10-01,0.0059
2012-11-01,0.006
2012-12-01,0.0079
2013-01-01,0.0086
2013-02-01,0.006
2013-03-01,0.0047
2013-04-01,0.0055
2013-05-01,0.0037
2013-06-01,0.0026
2013-07-01,0.0003
2013-08-01,0.0024
2013-09-01,0.0035
2013-10-01,0.0057
2013-11-01,0.0054
2013-12-01,0.0092
2014-01-01,0.0055
2014-02-01,0.0069
2014-03-01,0.0092
2014-04-01,0.0067
2014-05-01,0.0046
2014-06-01,0.004
2014-07-01,0.0001
2014-08-01,0.0025
2014-09-01,0.0057
2014-10-01,0.0042
2014-11-01,0.0051
2014-12-01,0.0078
2015-01-01,0.0124
2015-02-01,0.0122
2015-03-01,0.0132
2015-04-01,0.0071
2015-05-01,0.0074
2015-06-01,0.0079
2015-07-01,0.0062
2015-08-01,0.0022
2015-09-01,0.0054
2015-10-01,0.0082
2015-11-01,0.0101
2015-12-01,0.0096
2016-01-01,0.0127
2016-02-01,0.009
2016-03-01,0.0043
2016-04-01,0.0061
2016-05-01,0.0078
2016-06-01,0.0035
2016-07-01,0.0052
2016-08-01,0.0044
2016-09-01,0.0008
2016-10-01,0.0026
2016-11-01,0.0018
2016-12-01,0.003
2017-01-01,0.0038
2017-02-01,0.0033
2017-03-01,0.0025
2017-04-01,0.0014
2017-05-01,0.0031
2017-06-01,-0.0023
2017-07-01,0.0024
2017-08-01,0.0019
2017-09-01,0.0016
2017-10-01,0.0042
2017-11-01,0.0028
2017-12-01,0.0044
2018-01-01,0.0029
2018-02-01,0.0032
2018-03-01,0.0009
2018-04-01,0.0022
2018-05-01,0.004
2018-06-01,0.0126
2018-07-01,0.0033
2018-08-01,-0.0009
2018-09-01,0.0048
2018-10-01,0.0045
2018-11-01,-0.0021
2018-12-01,0.0015
2019-01-01,0.0032
2019-02-01,0.0043
2019-03-01,0.0075
2019-04-01,0.0057
2019-05-01,0.0013
2019-06-01,0.0001
2019-07-01,0.0019
2019-08-01,0.0011
2019-09-01,-0.0004
2019-10-01,0.001
2019-11-01,0.0051
2019-12-01,0.0115
2020-01-01,0.0021
2020-02-01,0.0025
2020-03-01,0.0007
2020-04-01,-0.0031
2020-05-01,-0.0038
2020-06-01,0.0026
2020-07-01,0.0036
2020-08-01,0.0024
2020-09-01,0.0064
2020-10-01,0.0086
2020-11-01,0.0089
2020-12-01,0.0135
2021-01-01,0.0025
2021-02-01,0.0086
2021-03-01,0.0093
2021-04-01,0.0031
2021-05-01,0.0083
2021-06-01,0.0053
2021-07-01,0.0096
2021-08-01,0.0087
2021-09-01,0.0116
2021-10-01,0.0125
2021-11-01,0.0095
2021-12-01,0.0073
2022-01-01,0.0054
2022-02-01,0.0101
2022-03-01,0.0162
2022-04-01,0.0106
2022-05-01,0.0047
2022-06-01,0.0067
2022-07-01,-0.0068
2022-08-01,-0.0036
2022-09-01,-0.0029
2022-10-01,0.0059
2022-11-01,0.0041
2022-12-01,0.0062
2023-01-01,0.0053
2023-02-01,0.0084
2023-03-01,0.0071
2023-04-01,0.0061
2023-05-01,0.0023
2023-06-01,-0.0008
2023-07-01,0.0012
2023-08-01,0.0023
2023-09-01,0.0026
2023-10-01,0.0024
2023-11-01,0.0028
2023-12-01,0.0056
2024-01-01,0.0042
2024-02-01,0.0083
2024-03-01,0.0016
2024-04-01,0.0038
2024-05-01,0.0046
2024-06-01,0.0021
2024-07-01,0.0038
2024-08-01,-0.0002
2024-09-01,0.0044
2024-10-01,0.0056
2024-11-01,0.0039
2024-12-01,0.0052
2025-01-01,0.0016
2025-02-01,0.0131
2025-03-01,0.0056
2025-04-01,0.0043
2025-05-01,0.0026
2025-06-01,0.0024
2025-07-01,0.0026
2025-08-01,-0.0011
2025-09-01,0.0048
2025-10-01,0.0009
2025-11-01,0.0018
2025-12-01,0.0033
2026-01-01,0.0033
2026-02-01,0.007
2026-03-01,0.0088
2026-04-01,0.0067
2026-05-01,0.0058
2026-06-01,0.0016
2026-07-01,0.0007
